Sample number	Sample name	Sample origin	Cell type	Array number	Subarray	Replicate	File	Cell Line
1	ESC_rep1	20131017 E14 P17 ESC	ESC	252800517196	2-2	1	SG12524268_252800517196_S001_GE1_1100_Jul11_2_2.txt	B6_ADE_d6
2	ESC_rep2	20131017 B6 P19 ESC	ESC	252800517198	1-3	2	SG12524268_252800517198_S001_GE1_1100_Jul11_1_3.txt	B6_ADE_d6
3	ESC_rep3	20120408 B6 P25 ESC	ESC	252800521328	2-1	3	SG12524268_252800521328_S001_GE1_1100_Jul11_2_1.txt	B6_ADE_d6
4	ADEd2_rep1	20141105 B6 ADE d2	ADE d2	252800517197	1-4	1	SG12524268_252800517197_S001_GE1_1100_Jul11_1_4.txt	B6_ADE_d6
5	ADEd2_rep2	20131114 B6 ADE d2	ADE d2	252800517198	2-2	2	SG12524268_252800517198_S001_GE1_1100_Jul11_2_2.txt	B6_ADE_d6
6	ADEd2_rep3	20150208 B6 ADE d2	ADE d2	252800521328	1-2	3	SG12524268_252800521328_S001_GE1_1100_Jul11_1_2.txt	B6_ADE_d6
7	ADEd3G-_rep1	20140313 B6 P15 ADE d3 G-	ADE d3 Gneg	252800517196	1-1	1	SG12524268_252800517196_S001_GE1_1100_Jul11_1_1.txt	B6_ADE_d6
8	ADEd3G-_rep2	20140912 B6 P19 ADE d3 G-	ADE d3 Gneg	252800517197	1-3	2	SG12524268_252800517197_S001_GE1_1100_Jul11_1_3.txt	B6_ADE_d6
9	ADEd3G-_rep3	20150204 B6 ADE d3 G-	ADE d3 Gneg	252800521327	1-1	3	SG12524268_252800521327_S001_GE1_1100_Jul11_1_1.txt	B6_ADE_d6
10	ADEd3G+_rep1	20140313 B6 P15 ADE d3 G+	ADE d3 Gpos	252800517198	1-4	1	SG12524268_252800517198_S001_GE1_1100_Jul11_1_4.txt	B6_ADE_d6
11	ADEd3G+_rep2	20140912 B6 P19 ADE d3 G+	ADE d3 Gpos	252800517197	2-4	2	SG12524268_252800517197_S001_GE1_1100_Jul11_2_4.txt	B6_ADE_d6
12	ADEd3G+_rep3	20150204 B6 ADE d3 G+	ADE d3 Gpos	252800521327	1-4	3	SG12524268_252800521327_S001_GE1_1100_Jul11_1_4.txt	B6_ADE_d6
13	ADEd4G-_rep1	20140818 B6 P24 ADE d4 G-	ADE d4 Gneg	252800517196	2-3	1	SG12524268_252800517196_S001_GE1_1100_Jul11_2_3.txt	B6_ADE_d6
14	ADEd4G-_rep2	20140319 B6 P17 ADE d4 G-	ADE d4 Gneg	252800517198	2-4	2	SG12524268_252800517198_S001_GE1_1100_Jul11_2_4.txt	B6_ADE_d6
15	ADEd4G-_rep3	20150204 B6 ADE d4 G-	ADE d4 Gneg	252800521328	1-1	3	SG12524268_252800521328_S001_GE1_1100_Jul11_1_1.txt	B6_ADE_d6
16	ADEd4G+_rep1	20140818 B6 P24 ADE d4 G+	ADE d4 Gpos	252800517198	2-1	1	SG12524268_252800517198_S001_GE1_1100_Jul11_2_1.txt	B6_ADE_d6
