ID	chr	start	end	strand
NM_001001130	chr13	67848737	67856071	-
NM_001001144	chr9	110235860	110287453	+
NM_001001152	chr13	67355854	67370004	-
NM_001001160	chr6	85419570	85452988	-
NM_001001176	chrX	103402213	103415181	-
NM_001001177	chr17	34535765	34597679	+
NM_001001178	chr2	58674109	58998684	-
NM_001001179	chr6	128489840	128531624	-
NM_001001180	chr7	147995576	148008077	-
NM_001001181	chr18	75165554	75169587	+
NM_001001182	chr2	59737420	59963797	-
NM_001001183	chr17	25194647	25218059	-
NM_001001184	chr8	47660948	47702554	-
NM_001001185	chr13	67964263	67964860	+
NM_001001186	chr13	67464520	67476699	-
NM_001001187	chr13	67768378	67784449	-
NM_001001295	chr9	64154563	64189064	-
NM_001001297	chr2	21127351	21136636	+
NM_001001309	chr2	12028261	12223571	-
NM_001001319	chr4	143649029	143659221	+
NM_001001320	chr19	3992752	3999512	+
NM_001001321	chr13	64197618	64230638	-
NM_001001322	chr2	26828936	26865145	+
NM_001001326	chr7	116667425	116760661	-
NM_001001327	chr5	130417979	130462562	+
NM_001001332	chr16	36321751	36334418	-
NM_001001333	chr11	121065747	121083970	+
NM_001001334	chr2	18620649	18671232	+
NM_001001335	chr6	54553141	54595816	+
NM_001001444	chr2	152364450	152365777	-
NM_001001445	chr11	73047651	73074824	+
NM_001001446	chr19	44079512	44103737	-
NM_001001447	chr7	13483158	13494432	+
NM_001001449	chrUn_random	125698	127960	-
NM_001001450	chrX	8031469	8038852	-
NM_001001451	chr6	40562314	40563309	-
NM_001001452	chr6	42350237	42351118	+
NM_001001453	chr6	42165327	42166286	+
NM_001001454	chr7	4071132	4087009	+
NM_001001488	chr18	64688633	64820654	-
NM_001001489	chr10	39687959	39706452	-
NM_001001490	chr14	120418807	120441657	-
NM_001001491	chr8	74659191	74677028	+
NM_001001492	chr16	96380013	96413864	-
NM_001001493	chr8	87604862	87606238	+
NM_001001495	chr6	65540392	65584034	+
NM_001001496	chrX	157340048	157344984	-
NM_001001559	chr7	110398600	110401019	-
NM_001001565	chr1	75471144	75476046	-
NM_001001566	chr1	75471144	75476046	-
NM_001001602	chr2	35547514	35586514	+
NM_001001650	chr3	85797732	85806413	-
NM_001001714	chr2	25698517	25702768	-
NM_001001735	chr8	26712756	26788444	+
NM_001001737	chr19	61198330	61216743	-
NM_001001738	chr19	47969086	47993789	-
NM_001001792	chr6	117813095	117822784	+
NM_001001796	chr14	33413113	33462432	+
NM_001001798	chrX	57476467	57657156	-
NM_001001803	chr18	62752067	62755918	-
NM_001001804	chr5	107832532	107859050	+
NM_001001805	chr7	110113616	110114554	+
NM_001001806	chr17	84583269	84587287	-
NM_001001807	chr15	98327905	98328837	+
NM_001001808	chr14	52654849	52655784	-
NM_001001809	chr1	175133489	175134430	+
NM_001001810	chr2	88704764	88705687	+
NM_001001880	chr1	167522312	167564672	-
NM_001001881	chr16	21649118	21694738	-
NM_001001882	chr2	181054429	181091321	+
NM_001001883	chr1	53863718	54251878	-
NM_001001884	chr15	99252465	99288179	-
NM_001001885	chr19	5079337	5085477	-
NM_001001892	chr17	34132957	34137278	-
NM_001001932	chr10	95403297	95508152	+
NM_001001979	chr18	57292744	57457121	+
NM_001001980	chr5	67137079	67448398	+
NM_001001981	chr1	78654400	78664176	+
NM_001001982	chr2	118579881	118588397	-
NM_001001983	chr16	17280444	17406407	-
NM_001001984	chr19	4316147	4397077	-
NM_001001985	chr5	34338633	34348565	+
NM_001001986	chr2	153233197	153270215	-
NM_001001999	chr16	18620412	18622496	-
